,ProductName,Description,Gender,PrimaryColor,ProductBrand
4909,mast & harbour  peach-coloured embroidered pullover sweater,"peach-coloured embroidered pullover sweater, has a round neck, long sleeves, and ribbed hem",women, red,mast & harbour
4910,eego italy  black solid synthetic high-top flat boots,"a pair of round-toe black flat boots, has high-top styling, slip-on detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",men, black,eego italy
4911,hrx by hrithik roshan  navy blue yoga seamless solid tights,"get the comfort and quality you need with the hrx women's yoga tights. constructed with seamless technology and lightweight, stretchable fabric these tights are what you need to make your workouts more comfortablefeaturesseamless construction prevent chafing. stretchable jacquard fabric allows easy 360 degree movement.colour: dark denimfit: regular fitknit tights",women,blue,hrx by hrithik roshan
4912,roadster unisex maroon & black printed scarf,maroon and black printed scarf and has a frayed border,unisex, black,roadster
4913,adorenite  blue solid satin night suit,"blue night suit consists of shirt and pyjamasblue  solid  shirt, has a shirt collar, long sleevesa pair of blue solid pyjamas, has slip-on closure",women,blue,adorenite
4914,genie  black textured 15 inches small backpack,black backpacknon-padded haul loop2 main compartments with zip closurenon-padded backzip pocketpadded shoulder strap: non-paddedwater-resistance: yeswarranty: 1 yearwarranty provided by brand/manufacturer,women, red,genie
4915,indian terrain  black & brown colourblocked insulator pu bomber,"black and brown colourblocked jacket, has a stand collar, 2 pockets, button closure, long sleeves, straight hem, and polyester lining",boys, black,indian terrain
4916,fancy mart  & green plant with pot,set content: 1 plant with potplant type: chilli plantplant colour: green and redpot colour: black,unisex, green,fancy mart
4917,genie  red & blue geometric print 16 inches medium backpack,red backpacknon-padded haul loop1 main compartment with zip closurenon-padded backzip pocketpadded shoulder strap: paddedwater-resistance: yeswarranty: 1 yearwarranty provided by brand/manufacturer,women,blue,genie
4918,indian terrain  red & blue colourblocked polo collar t-shirt,"red and blue colourblocked t-shirt, has a polo collar, and short sleeves",boys,blue,indian terrain
4919,alena  turquoise blue quirky embroidered straight kurta,"turquoise blue embroidered straight kurta, has a mandarin collar, three-quarter sleeves, curved hem, and side slits",women,blue,alena
4921,roadster  white & blue striped high neck t-shirt,"white and blue striped t-shirt, has a high neck, and long sleeves",women,blue,roadster
4922,priyaasi  of 4 multicoloured gold-plated stone-studded handcrafted bangles,"set of four multicoloured gold-plated handcrafted bangleseach has silk-threaded detail, slip-on closure",women, red,priyaasi
4923,selected  slim fit jeans,"a pair of blue 5-pocket mid-rise jeans, lightly washed, has whiskers, a zip fly with a button closure, a waistband with belt loops",men,blue,selected
4924,mitera  semi-stitched lehenga & blouse with dupatta,"peach-coloured lehenga cholipeach-coloured blouse, three-quarter sleevespeach-coloured semi-stitched lehenga, curved hemcomes with a peach coloured embellished dupatta",women, red,mitera
4925,indian terrain  grey brooklyn slim fit solid regular trousers,"grey solid low-rise trousers, button closure, and 4 pockets",men, grey,indian terrain
4926,indian terrain  blue & white slim fit checked casual shirt,"blue and white checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men,blue,indian terrain
4927,hypernation  black printed woven pure cotton nehru jacket,"black printed woven nehru jacket, has a mandarin collar, a stylized wrapover front with button closures, three pockets",men, black,hypernation
4928,indian terrain  blue chiseled slim fit faded chambray smart casual shirt,"blue faded smart casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men,blue,indian terrain
4929,indian terrain  brown & navy blue printed polo collar t-shirt,"brown and navy blue printed t-shirt, has a polo collar, and short sleeves",men,blue,indian terrain
4930,oomph  & pink floral adjustable ring,gold-toned and pink acrylic floral statement cocktail adjustable ringocassion: westernstone type: artificial stoned and beads,women, pink,oomph
4933,mast & harbour  grey melange applique detail sweatshirt,"grey melange applique detail sweatshirt, has a round neck, long sleeves, ribbed hem",women, grey,mast & harbour
4934,indian terrain  navy blue regular fit solid trousers,"navy blue solid mid-rise trousers, button and zip closure, and 4 pockets",boys,blue,indian terrain
4935,indian terrain  khaki urban comfort fit striped regular trousers,"khaki striped low-rise trousers, button closure, and 5 pockets",men, khaki,indian terrain
4936,indian terrain  black brooklyn slim fit solid regular trousers,"black solid mid-rise trousers, button closure, and 4 pocketsour stylist has styled this pair of trousers with a belt. it does not come with a belt.",men, black,indian terrain
4938,indian terrain  maroon solid polo collar t-shirt,"maroon solid t-shirt, has a polo collar, long sleeves, and 1 pocket",men, maroon,indian terrain
4939,indian terrain  brown slim fit solid smart casual shirt,"brown solid smart casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",men, brown,indian terrain
4940,indian terrain  grey brooklyn slim fit low-rise clean look stretchable jeans,"grey light wash 5-pocket low-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",men, grey,indian terrain
4942,indian terrain  red & black regular fit checked casual shirt,"red and black checked casual shirt, has a spread collar, long sleeves, button placket, and curved hem",boys, red,indian terrain
4943,indian terrain  rust brown regular fit self design trousers,"rust brownself-design mid-rise trousers, button closure, and 4 pockets",boys, brown,indian terrain
4944,indian terrain  brown & white regular fit checked casual shirt,"brown and white checked casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, white,indian terrain
4945,indian terrain  olive green regular fit solid casual shirt,"olive green solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 2 flap pockets",boys, green,indian terrain
4946,indian terrain  white & black printed round neck t-shirt,"white and black printed t-shirt, has a round neck, and short sleeves",men, black,indian terrain
4948,indian terrain  red printed round neck t-shirt,"red printed t-shirt, has a round neck, and short sleeves",men, red,indian terrain
4949,kazarmax  black & white patterned slip-on walking sneakers,"a pair of round-toe black & white patterned slip-on walking sneakers, has regular styling, slip-on detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 1 monthwarranty provided by brand/manufacturer",men, black,kazarmax
4950,indian terrain  black & yellow regular fit checked casual shirt,"black and yellow checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 welt pocket",boys, yellow,indian terrain
4951,chkokko  black solid round neck training t-shirt,"black solid training t-shirt, has a round neck, and long sleeves",men, black,chkokko
4952,duke  pink printed round neck t-shirt,"pink printed t-shirt, has a round neck, and short sleeves",men, pink,duke
4953,indian terrain  black brooklyn slim fit mid-rise clean look stretchable jeans,"black dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men, black,indian terrain
4954,indian terrain  blue chiseled slim fit printed casual chambray shirt,"blue printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men,blue,indian terrain
4955,indian terrain  blue printed cotton regular fit casual shirt,"blue printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem",boys,blue,indian terrain
4956,indian terrain  navy blue brooklyn slim fit mid-rise clean look stretchable jeans,"navy blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,indian terrain
4957,cortina  single door curtain,set content: single door curtaincolour: orangepattern: ethnic motifs doorlight blocking: room darkeningfitting: eyeletlining: no,unisex, orange,cortina
4958,puma  navy blue extractor running shoes,"special technologyengineered with softfoam technologyproduct detailsa pair of navy blue running sports shoes, has regular styling, lace-up detailtextile uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men,blue,puma
4959,mast & harbour  blue & white printed sweatshirt,"blue and white printed sweatshirt, has a round neck, long sleeves, straight hem",men,blue,mast & harbour
4960,indian terrain  blue & yellow checked cotton regular fit casual shirt,"blue and yellow checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 welt pocket",boys,blue,indian terrain
4961,puma unisex blue escaper core running shoes,"special technologies:the 4dfit supportive system ensures an engineered fit to your foot through a flexible moulded cage.the soft density propelfoam midsole compound offers extra response and lightweight cushioning for comfort and agility with every stride, whereas the full rubber outsole enables traction and durability.softfoam + insole provides superior cushioning and comfort ideal for every stage of your dayproduct design details:a pair of blue running sports shoes, has regular styling, lace-up detailmesh uppercushioned footbedwith lowered midsole heights, articulated chevron design, and flex grooves in the forefootthe forefoot is equipped with flexible breathable mesh and the heel delivers layers of interest and reflectivity allowing this shoe to move with the foot and offer a fresh look.textured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex,blue,puma
4962,kleio  solid sling bag,"orange  solid sling bag with buckle detail detail, has a button closure1 main compartment, 1 external and 1 inner pockettablet sleeve: nonon-detachable sling strapwarranty: 3 monthswarranty provided by brand/manufacturer",women, orange,kleio
4963,indian terrain  olive green printed sweatshirt,"olive green printed sweatshirt, has a round neck,  straight hem",boys, green,indian terrain
4964,indian terrain  blue regular fit mid-rise clean look stretchable jeans,"blue medium wash 5-pocket mid-rise jeans with stitching desigh detail, clean look, heavy fade, has a button and zip closure, and waistband with belt loops",boys,blue,indian terrain
4965,oddcroft  & brown solid bedside table lamp,type: bedside table lamp colour: black and brown pattern: solid shape: geometric base material: metal comes with bulb,unisex, black,oddcroft
4966,indian terrain  white regular fit solid casual shirt,"white solid casual shirt, has a mandarin collar, long sleeves, button placket, curved hem, and 1 welt pocket",boys, white,indian terrain
4967,gap  blue superdenim embroidered unicorn jeggings with fantastiflex,"super stretchy and super soft for everyday-awesome, saving-the-world type of adventurespremium 1969 denim with high stretch.medium indigo wash with fadingelasticized waist, faux flyfaux front curve pockets, back patch pocketsembroidered graphics at knee",girls,blue,gap
4968,indian terrain  beige brooklyn slim fit self design chinos,"beige self design knitted low-rise chinos, has a waistband with belt loops, button closure, zip fly, and five pockets",men, beige,indian terrain
4969,indian terrain  off-white kansas regular fit self design regular trousers,"off-white self-design mid-rise trousers, button closure, and 4 pockets",men, white,indian terrain
4970,indian terrain  grey black solid polo collar t-shirt,"charcoal grey solid t-shirt, has a polo collar, and short sleeves",men, black,indian terrain
4971,club york  navy blue colourblocked round neck t-shirt,"navy blue and maroon colourblocked t-shirt, has a round neck, and short sleeves",men,blue,club york
4973,indian terrain  green printed sweatshirt,"green printed sweatshirt, has a round neck,  straight hem",boys, green,indian terrain
4974,dressberry  mustard yellow solid sweater,"mustard yellow solid sweater, has a round neck, long sleeves, and ribbed hem",women, yellow,dressberry
4975,indian terrain  olive green urban comfort fit checked regular trousers,"olive green checked mid-rise trousers, button closure, and 4 pockets",men, green,indian terrain
4976,chkokko  coral pink solid round neck training t-shirt,"coral pink solid training t-shirt, has a round neck, and short sleeves",women, pink,chkokko
4977,puma unisex navy blue pure jogger sl running shoes,"special technology:softfoam+sockliner: sock-like structure provides flexible fit and long-lasting comfortdesign details:a pair of navy blue running sports shoes, has regular styling, lace-up detailsynthetic uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex,blue,puma
4979,indian terrain  green regular fit solid trousers,"green solid mid-rise trousers, button closure, and 4 pockets",boys, green,indian terrain
4981,puma  black & blue colourblocked trackracer idp running shoes,"special technologies:softfoam+: flexible sock collar with cushioned foot bed provides easy optimal step-in comfortdesign details:a pair of round-toe black and blue colourblocked running shoes, has regular styling, lace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand owner / manufacturer",men,blue,puma
4982,indian terrain  beige & white urban fit self design regular trousers,"beige and white self-design low-rise trousers, button closure, and 4 pockets",men, white,indian terrain
4983,jewels galaxy  copper-plated beaded jewellery set,"this jewellery set consists of a necklace, a pair of earrings and a braceletwhite copper-plated beaded necklace, secured with a magnet closurea pair of matching drop earrings, secured with a fish hook earwirea matching bracelet, secured with a magnet closure",women, white,jewels galaxy
4985,indian terrain  green checked cotton regular fit casual shirt,"green checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",boys, green,indian terrain
4986,molly & michel  black solid pathani kurta,"black solid pathani kurta, has a shirt collar, button closures, two pockets, long sleeves, curved hem, and side slits",men, black,molly & michel
4987,puma  black smash platform leather softfoam+ sneakers,"special technologies:softfoam: puma's dual-density insole provides two unique layers of cushioning for customised comfort, fit and long-lasting durabilityproduct design details:a pair of round-toe black sneakers, has regular styling, lace-up detailleather uppersoftfoam socklinerrubber outsolelace closure for a snug fitpuma branding at tonguepuma formstrip at lateral sidestextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",women, black,puma
4988,romee  geometric 144 tc cotton 1 queen bedsheet with 2 pillow covers,set content: 1 queen bedsheet with 2 pillow coversquality: regularthread count: 144colour: multicolouredpattern: geometric,unisex, red,romee
4989,indian terrain  black solid polo collar t-shirt,"black solid t-shirt, has a polo collar with zip closure, and short sleeves",men, black,indian terrain
4990,highlander  maroon & white striped round neck t-shirt,"maroon and white striped t-shirt, has a round neck, and long sleeves",men, white,highlander
4991,puma unisex black flyer runner running shoes,"puma unisex black flyer runner running shoes:turn heads with super sleek design lines in the tech-forward flyer running shoes, perfect both for everyday wear and advanced athletic training. with a fashion-forward, breathable mesh upper, lightweight midsole and added heel support, you'll hit your stride in style.features + benefitssoftfoam+: puma's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your daydetails:a pair of black running sports shoes, has regular styling, lace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex, black,puma
4993,indian terrain  grey & off-white brooklyn slim fit striped regular trousers,"grey and off-white striped low-rise trousers, button closure, and 5 pockets",men, white,indian terrain
4994,indian terrain  green brooklyn slim fit solid regular trousers,"green solid low-rise trousers, button closure, and 5 pockets",men, green,indian terrain
4995,indian terrain  grey melange printed round neck t-shirt,"grey melange printed t-shirt, has a round neck, and short sleeves",men, grey,indian terrain
4996,indian terrain  blue brooklyn slim fit low-rise clean look stretchable jeans,"blue dark wash 5-pocket low-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,indian terrain
4997,indian terrain  red solid henley neck t-shirt,"red solid t-shirt, has a henley neck, and long sleeves",men, red,indian terrain
4998,indian terrain  navy blue brooklyn slim fit solid regular trousers,"navy blue solid mid-rise trousers, button closure, and 4 pockets",men,blue,indian terrain
4999,indian terrain  navy blue brooklyn slim fit solid chinos,"navy blue solid low-rise trousers, button closure, and 4 pockets",men,blue,indian terrain
5000,dorothy perkins  coral pink solid top,"coral pink solid woven top, has a round neck, short sleeves, and button closures",women, pink,dorothy perkins
5001,kleio  yellow solid sling bag,"mustard yellow solid sling bag, has a button closure3 main compartments, 3 inner pocketsnon detachable sling strapwarranty: 3 monthswarranty provided by brand/manufacturer",women, yellow,kleio
5003,moda rapido  blue slim fit printed chinos,"blue printed mid-rise trousers, button closure, and 4 pockets",men,blue,moda rapido
5004,indian terrain  beige & brown checked polo collar cotton t-shirt,"beige and brown checked cotton t-shirt, has a polo collar, and short sleeves",men, brown,indian terrain
5005,indian terrain  rust orange regular fit solid casual shirt,"rust orange solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, orange,indian terrain
5006,indian terrain  blue regular fit mid-rise clean look stretchable jeans,"blue coloured wash 5-pocket mid-rise jeans, clean look, no fade, has a zip fly closure, and waistband with belt loops",boys,blue,indian terrain
5007,chkokko  coral pink solid round neck t-shirt,"coral pink solid t-shirt, has a round neck, and short sleeves",men, pink,chkokko
5008,mast & harbour  green solid hooded sweatshirt,"green solid sweatshirt, has a hood neck, long sleeves, one pocket and ribbed hem",men, green,mast & harbour
5009,jewels galaxy  gold-plated beaded multi-stranded necklace,red and gold-toned multi-stranded necklacematerial and stone type: brass with artificial beadsplating: gold-platedclosure: lobster closure,women, red,jewels galaxy
5010,puma unisex white st runner v2 full sneakers,"a pair of round-toe white sneakers, has regular styling, lace-up detailleather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturerproduct storythe timeless and legendary design of the st runner never goes out of style. the st runner v2 full l features a modernized full rubber outsole that enables grip and durability whereas the heel clip looks great and optimizes stability. the full genuine leather upper offers smooth comfort and a classic look that goes with anything you wear.",unisex, white,puma
5011,puma unisex navy blue caracal leather sneakers,"special technology:softfoam + insole provides superior cushioning and comfort ideal for every stage of your dayproduct design details:a pair of round-toe navy blue sneakers, has regular styling, lace-up detailleather uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex,blue,puma
5012,libas  blue & golden printed straight kurta,"blue, golden and pink printed straight kurta with tie-up detail, has a mandarin collar, three-quarter sleeves, hook and eye closure, mock button placket, straight hem, and side slits",women,blue,libas
5013,highlander  black solid denim jacket,"black solid jacket, has a spread collar, 2 pockets, button closure, long sleeves, straight hem, and unlined",men, black,highlander
5014,indian terrain  brown regular fit solid chinos,"brown solid mid-rise trousers, button closure, and 4 pockets",boys, brown,indian terrain
5015,priyaasi  of 4 pink gold-plated stone-studded handcrafted bangles,"set of four pink gold-plated handcrafted bangleseach has stone-studded and silk-threaded detail, slip-on closure",women, pink,priyaasi
5016,roadster  orange solid round neck t-shirt,"orange solid t-shirt, has a round neck, and short sleeves",women, orange,roadster
5017,puma  black solid extractor running shoes,"special technologies:softfoam+sockliner: flexible sock collar with cushioned foot bed provides easy optimal step-in comfortdesign details:a pair of black solid running shoes, has regular styling, lace up detailtextile upperthe upper is a tongue construction perfect for that premium lace up fit.midfoot detailing with puma branding adds depth to the upper.lacing through internal gilleys adds another stylish touch to the upper.deco-stitched detailing mimic overlay pieces while at the same time keeping the upper clean and lightweight.the tooling features full length eva with rubber coverage on the outsole for traction and durability.the extractor infuses our puma design language into an easy to wear upper on a full length eva tooling.warranty: 3 monthswarranty provided by brand/manufacturer",men, black,puma
5018,indian terrain  green & blue slim fit checked casual shirt,"green and blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men,blue,indian terrain
5019,indian terrain  grey urban tapered fit solid regular smart casual trousers,"grey solid low-rise trousers, button closure, and 4 pocketsdoes not come with a belt",men, red,indian terrain
5020,indian terrain  brown camo printed regular fit cargos,"brown camo printed mid-rise trousers, button closure, and 6 pockets",boys, brown,indian terrain
5021,chkokko  black solid polo collar t-shirt,"black solid t-shirt, has a polo collar, and short sleeves",men, black,chkokko
5022,puma unisex black interflex softfoam + running shoes,"special technology:softfoam + insole provides superior cushioning and comfort ideal for every stage of your dayproduct design details:a pair of black running sports shoes, has regular styling, lace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex, black,puma
5023,puma  maroon concave pro idp running shoes,"special technology:softfoam flexible fit and long-lasting comfortdesign details:a pair of maroon running sports shoes, has regular styling, lace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, maroon,puma
5024,chkokko  black solid round neck training t-shirt,"black solid training t-shirt, has a round neck, and short sleeves",men, black,chkokko
5026,indian terrain  white regular fit solid casual shirt,"white solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem",boys, white,indian terrain
5027,indian terrain  navy blue slim fit printed smart casual shirt,"navy blue printed smart casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men,blue,indian terrain
5028,indian terrain  green striped polo t-shirt,"green and mustard yellow striped t-shirt, has a polo collar, short sleeves, and 1 pocket",men, green,indian terrain
5029,indian terrain  green regular fit solid casual shirt,"green solid casual shirt, has a spread collar, short sleeves, button placket, and curved hem",boys, green,indian terrain
5030,kleio  yellow solid sling bag,"mustard  solid sling bag with buckle detail detail, has a button closure1 main compartment, 1 external and 1 inner pockettablet sleeve: nonon-detachable sling strapwarranty: 3 monthswarranty provided by brand/manufacturer",women, yellow,kleio
5032,indian terrain  navy blue printed round neck t-shirt,"navy blue printed t-shirt, has a round neck, and short sleeves",men,blue,indian terrain
5033,indian terrain  brown solid henley neck t-shirt,"brown solid t-shirt, has a henley neck, and long sleeves",men, brown,indian terrain
5034,puma unisex black nucleus run sneakers,"special technology:imeva: puma's midsole for a lightweight and comfortable feelsoftfoam+: puma's comfort sockliner for instant step-in and long-lasting comfort that provides soft cushioning every step of your daydesign details:a pair of round-toe black sneakers, has regular styling, lace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex, black,puma
5035,indian terrain  olive green & white slim fit checked semiformal shirt,"olive green and white checked semiformal shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",men, green,indian terrain
5036,indian terrain  olive green printed regular fit chino shorts,"olive green printed mid-rise chino shorts, has 4 pockets, and button closure",boys, green,indian terrain
5037,chkokko  purple solid hooded sweatshirt,"purple solid sweatshirt, has an attached hood, four pockets, long sleeves, zip closure, straight hem",women, purple,chkokko
5038,mango  off-white & beige tropical print midi a-line dress,"off-white, beige and peach-coloured printed woven midi a-line dress with tie-up, has shoulder straps, concealed zip closure, and flared hemcomes with a fabric belt",women, white,mango
5039,indian terrain  blue regular fit solid casual shirt,"blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem",boys,blue,indian terrain
5040,pipa bella  gold-plated cuff bracelet,gold-plated cuff braceletmaterial: brassclosure: lobster,women, gold,pipa bella
5041,indian terrain  navy blue & purple brooklyn slim fit printed regular trousers,"navy blue and purple printed low-rise trousers, button closure, and 5 pockets",men,blue,indian terrain
5042,puma  black manitoba idp running shoes,"details:a pair of black running sports shoes, has regular styling, lace-up detailmesh uppercushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",men, black,puma
5043,indian terrain  brown regular fit self design trousers,"brown self design mid-rise trousers, button closure, and 5 pockets",boys, brown,indian terrain
5044,jewels galaxy  & black copper-plated beaded multi-stranded necklace,beige and black multi-stranded necklacematerial and stone type: brass with artificial beadsplating: copper-platedclosure: lobster closure,women, black,jewels galaxy
5047,indian terrain  beige & brown kruger skinny fit printed smart casual chinos,"beige and brown printed low-rise smart casual trousers, button closure, and 4 pocketsour stylist has paired these trousers with a belt, this trouser does not come with a belt.",men, brown,indian terrain
5048,kleio  solid sling bag,"peach-coloured solid sling bag, has a button closure3 main compartments, 3 inner pocketsnon detachable sling strapwarranty: 3 monthswarranty provided by brand/manufacturer",women, red,kleio
5050,indian terrain  brown brooklyn slim fit solid regular trousers,"brown solid low-rise regular trousers, button closure, and 4 pockets",men, brown,indian terrain
5051,libas  blue self-striped asymmetric hemline a-line kurta,"blue self-striped a-line kurta, has a shirt collar, short sleeves, asymmetric hem, and front slit, concealed hook closures, one pocket",women,blue,libas
5052,fosh  red sheath dress,"red solid knitted sheath %s, has  shoulder straps, short sleeves, and straight hem",women, red,fosh
5053,indian terrain  white regular fit solid casual shirt,"white solid casual shirt, has a mandarin collar, long sleeves, button placket, curved hem, and 1 welt pocket",boys, white,indian terrain
5054,indian terrain  blue & red regular fit checked casual shirt,"blue and red checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 welt pocket",boys,blue,indian terrain
5055,chkokko  mustard yelow solid v-neck t-shirt,"mustard yellow solid t-shirt, has a v-neck, and short sleeves",men, mustard,chkokko
5056,indian terrain  navy blue brooklyn slim fit self-design trousers,"navy blue self-design low-rise trousers, button closure, and 4 pockets",men,blue,indian terrain
5057,indian terrain  red regular fit checked casual shirt,"red checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",boys, red,indian terrain
5058,indian terrain  cream-coloured solid henley neck t-shirt,"cream-coloured solid t-shirt, has a henley neck, and long sleeves",men, red,indian terrain
5059,indian terrain  green & yellow slim fit checked casual shirt,"green, yellow and white checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket",men, green,indian terrain
5060,puma unisex grey turin ii softfoam+ sneakers,"special technology:softfoam+sockliner: flexible sock collar with cushioned foot bed provides easy optimal step-in comforteva midsole for perfect cushioning.design details:a pair of round-toe grey sneakers, has regular styling, lace-up detailnylon upper with synthetic leather overlays.cushioned footbedtextured and patterned outsolewarranty: 3 monthswarranty provided by brand/manufacturer",unisex, grey,puma
5061,indian terrain  yellow printed sweatshirt,"yellow printed sweatshirt, has a round neck,  curved hem",boys, yellow,indian terrain
5062,indian terrain  navy blue & off-white striped polo collar t-shirt,"navy blue,off-white and green striped t-shirt, has a polo collar, and long sleeves",men,blue,indian terrain
5063,cortina  printed single window curtain,set content: single window curtaincolour: greenpattern: ethnic motifslight blocking: room darkeningfitting: eyelet,unisex, green,cortina
5064,indian terrain  pink printed round neck t-shirt,"pink printed t-shirt, has a round neck, and short sleeves",men, pink,indian terrain
5065,indian terrain  charcoal grey brooklyn slim fit solid regular trousers,"charcoal grey solid low-rise trousers, button closure, and 5 pockets",men, grey,indian terrain
5066,freehand  printed slim fit casual shirt,"white and blue printed casual shirt, has a spread collar, a full button placket, long sleeves, one pocket",men, white,freehand
5067,ed hardy  printed jacket,"grey printed jacket, has a stand collar, long sleeve, a full zip closure, two pockets, attached lining with a welt pocket",men, grey,ed hardy
5068,indian terrain  black striped polo collar t-shirt,"black and brown striped t-shirt, has a polo collar, short sleeves, and 1 pockets",men, black,indian terrain
5069,indian terrain  brown printed regular fit chino shorts,"brown printed mid-rise chino shorts, has a waistband with belt loops, 4 pockets, and button and zip closure",men, brown,indian terrain
5070,indian terrain  navy blue brooklyn slim fit self design regular trousers,"navy blue self-design low-rise trousers, button closure, and 4 pockets",men,blue,indian terrain
5071,indian terrain  maroon regular fit checked smart casual shirt,"maroon checked smart casual shirt, has a slim collar, long sleeves, button placket, curved hem, 1 patch pocket",men, maroon,indian terrain
5072,indian terrain  red & navy blue slim fit checked casual shirt,"red and navy blue checked casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket",men,blue,indian terrain
5074,indian terrain  red & blue regular fit checked casual shirt,"red and blue checked casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 patch pocket",boys,blue,indian terrain
5075,libas  yellow & pink printed kurta with trousers,"yellow and pink printed kurta with trousersyellow and pink anarkali calf length kurta with gathered detail, has a mandarin collar, short sleeves, flared hem, front slityellow and pink printed trousers, has partially elasticated waistband, slip-on closure, two pockets",women, yellow,libas
5077,indian terrain  green checked cotton regular fit casual shirt,"green checked casual shirt, has a slim collar, long sleeves, button placket, and curved hem",boys, green,indian terrain
5078,indian terrain  orange regular fit solid casual shirt,"orange solid casual shirt, has a slim collar, long sleeves, button placket, curved hem, and 1 pocket",boys, orange,indian terrain
5079,indian terrain  blue brooklyn slim fit mid-rise clean look jeans,"blue dark wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",men,blue,indian terrain
5080,indian terrain  navy blue urban tapered fit solid smart casual chinos,"navy blue solid low-rise trousers, button closure, and 5 pocketsdoes not come with a belt",men,blue,indian terrain
5081,mast & harbour  grey melange solid sweatshirt,"grey melange solid sweatshirt with pearl embellishments, has a round neck, long sleeves, ribbed hem",women, grey,mast & harbour
5082,indian terrain  off-white brooklyn slim fit solid smart casual regular trousers,"off-white solid low-rise smart casual regular trousers, button closure, and 5 pocketsdisclaimer:our stylist has styled this pair of trousers with a belt. it does not come with a belt.",men, white,indian terrain
5083,indian terrain  grey printed regular fit chino shorts,"grey printed mid-rise chino shorts, has 4 pockets, and button closure",boys, grey,indian terrain
5084,indian terrain  black solid henley neck t-shirt,"black solid t-shirt, has a henley neck, and long sleeves",men, black,indian terrain
5085,indian terrain  black brooklyn slim fit printed smart casual chinos,"black printed mid-rise smart casual chinos, button closure, and 4 pockets",men, black,indian terrain
5086,aditi wasan  black solid two fold leather wallet,"black solid two fold wallet with button closure1 main compartment, has a non detachable flap6 card holders, 2 slip pockets, has a flap coin pocketdisclaimer: this is a genuine leather product that has been designed with good care which makes every piece unique and gives variety in the appearance. the genuine look might vary",women, black,aditi wasan
5087,indian terrain  maroon & yellow colourblocked sweater,"maroon and yellow colourblocked sweater, has a round neck, long sleeves, and ribbed hem",boys, yellow,indian terrain
5088,indian terrain  beige & teal green printed polo t-shirt,"beige and teal green printed t-shirt, has a polo collar, and short sleeves",men, green,indian terrain
